Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,375,1172,883,968,96,106,979,1074,255,127.5,85,289,170,459,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Store & Code,Store-Brand-Product Type,Brand Code,Commodity,Store Name,Store Type,Store Category,Brand Code,Brand Type,Supplier name,Brand Name,Depth,Facing,SKU Count,SOH,Sku Count Local,SOH Local,SKU Count Total,SOH Total,Sales(Apr & May),Monthly Sales,Back stock,Facing Delta,BS Delta,Total Order,Star Locations,,,
PO-GHAZIABAD FC,PO-GHAZIABADFrench ConnectionFrame,FC,Frame,PO-GHAZIABAD,SIS,A,FC,Fast Fashion,Sterling,French Connection,3,12,14,14,0,0,14,14,0,0,0,-2,0,-2,,,,
PO-GHAZIABAD RX,PO-GHAZIABADRaybanFrame,RX,Frame,PO-GHAZIABAD,SIS,A,RX,Lifestyle,Luxottica,Rayban,3,20,13,14,0,0,13,14,0,0,1,7,-1,6,,,,
PO-GHAZIABAD TH,PO-GHAZIABADTommy HilfigerFrame,TH,Frame,PO-GHAZIABAD,SIS,A,TH,Lifestyle,Sterling,Tommy Hilfiger,3,12,15,15,0,0,15,15,0,0,0,-3,0,-3,,,,
PO-GHAZIABAD VO,PO-GHAZIABADVogueFrame,VO,Frame,PO-GHAZIABAD,SIS,A,VO,Fast Fashion,Luxottica,Vogue,3,12,15,15,0,0,15,15,3,1.5,0,-3,3,0,,,,
PO-GHAZIABAD (RDC) AD,PO-GHAZIABAD (RDC)AdmyraFrame,AD,Frame,PO-GHAZIABAD (RDC),Retail,A,AD,Private Labels,Private Labels,Admyra,90,210,195,213,37,44,232,257,46,23,18,15,28,43,Star,,,
PO-GHAZIABAD (RDC) AV,PO-GHAZIABAD (RDC)AvantaFrame,AV,Frame,PO-GHAZIABAD (RDC),Retail,A,AV,Private Labels,Private Labels,Avanta,48,112,112,115,129,157,241,272,60,30,3,0,48,48,Star,,,
PO-GHAZIABAD (RDC) AV-K,PO-GHAZIABAD (RDC)Avanta KidsFrame,AV-K,Frame,PO-GHAZIABAD (RDC),Retail,A,AV-K,Private Labels,Private Labels,Avanta Kids,12,28,31,33,15,15,46,48,8,4,2,-3,6,3,Star,,,
PO-GHAZIABAD (RDC) AX,PO-GHAZIABAD (RDC)Armani ExchangeFrame,AX,Frame,PO-GHAZIABAD (RDC),Retail,A,AX,Fast Fashion,Alankar,Armani Exchange,3,15,4,4,0,0,4,4,2,1,0,11,2,13,Star,,,
PO-GHAZIABAD (RDC) BE-O,PO-GHAZIABAD (RDC)BurberryFrame,BE-O,Frame,PO-GHAZIABAD (RDC),Retail,A,BE-O,Luxury,Luxottica,Burberry,3,15,0,0,0,0,0,0,0,0,0,15,0,15,Star,,,
PO-GHAZIABAD (RDC) BE-S,PO-GHAZIABAD (RDC)BurberrySunglass,BE-S,Sunglass,PO-GHAZIABAD (RDC),Retail,A,BE-S,Luxury,Luxottica,Burberry,3,15,0,0,0,0,0,0,0,0,0,15,0,15,Star,,,
PO-GHAZIABAD (RDC) CA,PO-GHAZIABAD (RDC)CarreraFrame,CA,Frame,PO-GHAZIABAD (RDC),Retail,A,CA,Lifestyle,Safilo,Carrera,6,32,22,22,0,0,22,22,3,1.5,0,10,3,13,Star,,,
PO-GHAZIABAD (RDC) CA-S,PO-GHAZIABAD (RDC)CarreraSunglass,CA-S,Sunglass,PO-GHAZIABAD (RDC),Retail,A,CA-S,Lifestyle,Safilo,Carrera,3,12,3,3,0,0,3,3,0,0,0,9,0,9,Star,,,
PO-GHAZIABAD (RDC) EA,PO-GHAZIABAD (RDC)Emporio ArmaniFrame,EA,Frame,PO-GHAZIABAD (RDC),Retail,A,EA,Premium Fashion,Luxottica,Emporio Armani,3,15,8,8,0,0,8,8,5,2.5,0,7,3,10,Star,,,
PO-GHAZIABAD (RDC) EA-S,PO-GHAZIABAD (RDC)Emporio ArmaniSunglass,EA-S,Sunglass,PO-GHAZIABAD (RDC),Retail,A,EA-S,Premium Fashion,Luxottica,Emporio Armani,3,15,0,0,0,0,0,0,5,2.5,0,15,3,18,Star,,,
PO-GHAZIABAD (RDC) FC,PO-GHAZIABAD (RDC)French ConnectionFrame,FC,Frame,PO-GHAZIABAD (RDC),Retail,A,FC,Fast Fashion,Sterling,French Connection,9,36,11,11,0,0,11,11,7,3.5,0,25,7,32,Star,,,
PO-GHAZIABAD (RDC) HB,PO-GHAZIABAD (RDC)Hugo BossFrame,HB,Frame,PO-GHAZIABAD (RDC),Retail,A,HB,Luxury,Safilo,Hugo Boss,3,23,0,0,0,0,0,0,0,0,0,23,0,23,Star,,,
PO-GHAZIABAD (RDC) ID-S,PO-GHAZIABAD (RDC)IdeeSunglass,ID-S,Sunglass,PO-GHAZIABAD (RDC),Retail,A,ID-S,Fast Fashion,Ronak Optics,Idee,18,42,22,22,0,0,22,22,12,6,0,20,12,32,Star,,,
